Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Extra Trees Classifier,0.8247,0.884,0.8549,0.8328,0.8437,0.6442,0.6447,0.04
Naive Bayes,0.8247,0.8877,0.8403,0.843,0.8413,0.6456,0.6462,0.518
Random Forest Classifier,0.8179,0.8816,0.8525,0.8244,0.8381,0.6302,0.6309,0.06
Logistic Regression,0.8179,0.8937,0.8403,0.8334,0.8364,0.6311,0.632,0.844
Ridge Classifier,0.8166,0.8916,0.8329,0.8351,0.8339,0.629,0.6291,0.012
Linear Discriminant Analysis,0.8166,0.8916,0.8329,0.8351,0.8339,0.629,0.6291,0.01
K Neighbors Classifier,0.8125,0.8606,0.828,0.8322,0.83,0.621,0.6212,0.582
Quadratic Discriminant Analysis,0.8111,0.8728,0.8281,0.8303,0.829,0.6181,0.6185,0.012
Ada Boost Classifier,0.8084,0.8675,0.8304,0.825,0.8274,0.6121,0.6126,0.03
Gradient Boosting Classifier,0.8044,0.8799,0.8402,0.8128,0.8261,0.6026,0.6034,0.032
Light Gradient Boosting Machine,0.7989,0.8694,0.8303,0.8114,0.8204,0.592,0.5927,0.15
SVM - Linear Kernel,0.7636,0.8422,0.7767,0.7932,0.7838,0.5232,0.5248,0.012
Decision Tree Classifier,0.7432,0.742,0.7543,0.7758,0.7645,0.4823,0.4831,0.644
Dummy Classifier,0.553,0.5,1.0,0.553,0.7122,0.0,0.0,0.01
